Baked chicken,"Ingredients : chicken, bay leaf, tomato, coarse salt, lemon juice, chicken stock, pepper, onion, clove. Preheat oven to 200°C (390°F) (gas mark 6). Place inside the chicken two cloves of garlic and the bay leaves. Prepare the...",     15 min    1 h 40 min
Orange chicken,"Ingredients : chicken, bacon, Herbs, lemon, salt, onion. Braise chicken in butter, then put it aside on a plate. Sauté onions, add mushrooms and bacon. Zest one of the oranges and squeeze the others. Put the chicken on a bed of...",     15 min    1 h
Strawberry wine,"Ingredients : sugar, strawberry, white wine. Mash the ripe strawberries then add wine and sugar. Stir and let stand for one day. Filter the winettle it.",     10 min
Peach and Strawberry Sweet Pizza,"Ingredients : sugar, peach, raspberry. Preheat the oven to 150°C (300°F). Roll out the pizza dough on a baking tray. Sprinkle 1 tablespoon sugar Bake for 5 minutes, the dough should become golden-brown. Cut the peaches into thin slices,...",     10 min    5 min
Peach and Strawberry Sweet Pizza,"Ingredients : sugar, peach, raspberry. Preheat the oven to 150°C (300°F). Roll out the pizza dough on a baking tray. Sprinkle 1 tablespoon sugar Bake for 5 minutes, the dough should become golden-brown. Cut the peaches into thin slices,...",     10 min    5 min
Peach and raspberry terrine dessert,"Ingredients : sugar, peach, gelatin, raspberry, water, dry white wine. Bring the water to boil. Slightly incise the skin with the peaches, close bottom. Plunge them 30 seconds in boiling water. Cool them under cold water. Peel them. Cut them...",     20 min    5 min
Lemon and coriander aubergine,"Ingredients : olive oil, aubergine, coriander, lemon, salt, garlic. Pre-heat oven to 400°F (204°C). Cut the aubergines lengthways into large pieces each piece in diagonals to form a diamond shape then put them on a plate with garlic, olive...",     10 min    40 min
Brownies,Flour and stuff,15 min
